sep=,
"Date","Open(QUSD1MFSR=X)","High(QUSD1MFSR=X)","Low(QUSD1MFSR=X)","Last(QUSD1MFSR=X)"
"13/2/2023","","","","4.58786"
"10/2/2023","","","","4.578"
"9/2/2023","","","","4.57257"
"8/2/2023","","","","4.575"
"7/2/2023","","","","4.58071"
"6/2/2023","","","","4.58829"
"3/2/2023","","","","4.57186"
"2/2/2023","","","","4.58"
"1/2/2023","","","","4.575"
"31/1/2023","","","","4.57429"
"30/1/2023","","","","4.56557"
"27/1/2023","","","","4.56971"
"26/1/2023","","","","4.54729"
"25/1/2023","","","","4.51729"
"24/1/2023","","","","4.516"
"23/1/2023","","","","4.50586"
"20/1/2023","","","","4.51314"
"19/1/2023","","","","4.50843"
"18/1/2023","","","","4.48571"
"17/1/2023","","","","4.47"
"16/1/2023","","","","4.46486"
"13/1/2023","","","","4.45443"
"12/1/2023","","","","4.459"
"11/1/2023","","","","4.42343"
"10/1/2023","","","","4.42986"
"9/1/2023","","","","4.40429"
"6/1/2023","","","","4.40157"
"5/1/2023","","","","4.39514"
"4/1/2023","","","","4.38429"
"3/1/2023","","","","4.40129"
"30/12/2022","","","","4.39157"
"29/12/2022","","","","4.36871"
"28/12/2022","","","","4.38357"
"23/12/2022","","","","4.38686"
"22/12/2022","","","","4.38871"
"21/12/2022","","","","4.38557"
"20/12/2022","","","","4.36129"
"19/12/2022","","","","4.35386"
"16/12/2022","","","","4.35286"
"15/12/2022","","","","4.33914"
"14/12/2022","","","","4.32629"
"13/12/2022","","","","4.31786"
"12/12/2022","","","","4.29214"
"9/12/2022","","","","4.27029"
"8/12/2022","","","","4.27429"
"7/12/2022","","","","4.23614"
"6/12/2022","","","","4.22143"
"5/12/2022","","","","4.21729"
"2/12/2022","","","","4.18486"
"1/12/2022","","","","4.17229"
"30/11/2022","","","","4.142"
"29/11/2022","","","","4.12014"
"28/11/2022","","","","4.07143"
"25/11/2022","","","","4.05471"
"24/11/2022","","","","4.02914"
"23/11/2022","","","","4.04357"
"22/11/2022","","","","4.01614"
"21/11/2022","","","","3.979"
"18/11/2022","","","","3.95671"
"17/11/2022","","","","3.93857"
"16/11/2022","","","","3.91071"
"15/11/2022","","","","3.90357"
"14/11/2022","","","","3.88657"
"11/11/2022","","","","3.87529"
"10/11/2022","","","","3.87314"
"9/11/2022","","","","3.87857"
"8/11/2022","","","","3.85871"
"7/11/2022","","","","3.85514"
"4/11/2022","","","","3.85814"
"3/11/2022","","","","3.84657"
"2/11/2022","","","","3.83571"
"1/11/2022","","","","3.84157"
"31/10/2022","","","","3.80486"
"28/10/2022","","","","3.76771"
"27/10/2022","","","","3.75386"
"26/10/2022","","","","3.63229"
"25/10/2022","","","","3.59643"
"24/10/2022","","","","3.57643"
"21/10/2022","","","","3.58557"
"20/10/2022","","","","3.57243"
"19/10/2022","","","","3.50071"
"18/10/2022","","","","3.48914"
"17/10/2022","","","","3.47986"
"14/10/2022","","","","3.443"
"13/10/2022","","","","3.41214"
"12/10/2022","","","","3.33871"
"11/10/2022","","","","3.34557"
"10/10/2022","","","","3.31671"
"7/10/2022","","","","3.31357"
"6/10/2022","","","","3.30029"
"5/10/2022","","","","3.19814"
"4/10/2022","","","","3.18571"
"3/10/2022","","","","3.17443"
"30/9/2022","","","","3.14271"
"29/9/2022","","","","3.12786"
"28/9/2022","","","","3.11529"
"27/9/2022","","","","3.12057"
"26/9/2022","","","","3.11314"
"23/9/2022","","","","3.08029"
"22/9/2022","","","","3.084"
"21/9/2022","","","","3.059"
"20/9/2022","","","","3.05186"
"16/9/2022","","","","3.01386"
"15/9/2022","","","","2.99343"
"14/9/2022","","","","2.93914"
"13/9/2022","","","","2.81771"
"12/9/2022","","","","2.78343"
"9/9/2022","","","","2.77314"
"8/9/2022","","","","2.75643"
"7/9/2022","","","","2.70457"
"6/9/2022","","","","2.68486"
"5/9/2022","","","","2.64286"
"2/9/2022","","","","2.65571"
"1/9/2022","","","","2.63329"
"31/8/2022","","","","2.55343"
"30/8/2022","","","","2.564"
"26/8/2022","","","","2.52386"
"25/8/2022","","","","2.49343"
"24/8/2022","","","","2.45486"
"23/8/2022","","","","2.44371"
"22/8/2022","","","","2.42743"
"19/8/2022","","","","2.38671"
"18/8/2022","","","","2.36814"
"17/8/2022","","","","2.36557"
"16/8/2022","","","","2.377"
"15/8/2022","","","","2.37971"
"12/8/2022","","","","2.38686"
"11/8/2022","","","","2.391"
"10/8/2022","","","","2.40043"
"9/8/2022","","","","2.38014"
"8/8/2022","","","","2.38857"
"5/8/2022","","","","2.36943"
"4/8/2022","","","","2.37271"
"3/8/2022","","","","2.37629"
"2/8/2022","","","","2.35729"
"1/8/2022","","","","2.36686"
"29/7/2022","","","","2.36229"
"28/7/2022","","","","2.37314"
"27/7/2022","","","","2.37229"
"26/7/2022","","","","2.346"
"25/7/2022","","","","2.29971"
"22/7/2022","","","","2.25229"
"21/7/2022","","","","2.259"
"20/7/2022","","","","2.21357"
