date,/SRAU3,dd,mm,yyyy
2022-05-18,96.95,18,5,2022
2022-05-17,96.905,17,5,2022
2022-05-16,97.085,16,5,2022
2022-05-13,97.025,13,5,2022
2022-05-12,97.105,12,5,2022
2022-05-11,96.945,11,5,2022
2022-05-10,96.925,10,5,2022
2022-05-09,96.885,9,5,2022
2022-05-06,96.75,6,5,2022
2022-05-05,96.705,5,5,2022
2022-05-04,96.84,4,5,2022
2022-05-03,96.675,3,5,2022
2022-05-02,96.685,2,5,2022
2022-04-29,96.75,29,4,2022
2022-04-28,96.805,28,4,2022
2022-04-27,96.91,27,4,2022
2022-04-26,96.945,26,4,2022
2022-04-25,96.82,25,4,2022
2022-04-22,96.69,22,4,2022
2022-04-21,96.665,21,4,2022
2022-04-20,96.795,20,4,2022
2022-04-19,96.775,19,4,2022
2022-04-18,96.93,18,4,2022
2022-04-14,96.96,14,4,2022
2022-04-13,97.09,13,4,2022
2022-04-12,97.045,12,4,2022
2022-04-11,96.85,11,4,2022
2022-04-08,96.79,8,4,2022
2022-04-07,96.91,7,4,2022
2022-04-06,96.85,6,4,2022
2022-04-05,96.845,5,4,2022
2022-04-04,96.95,4,4,2022
2022-04-01,96.95,1,4,2022
2022-03-31,97.14,31,3,2022
2022-03-30,97.095,30,3,2022
2022-03-29,97.055,29,3,2022
2022-03-28,97.045,28,3,2022
2022-03-25,97.115,25,3,2022
2022-03-24,97.325,24,3,2022
2022-03-23,97.345,23,3,2022
2022-03-22,97.285,22,3,2022
2022-03-21,97.29,21,3,2022
2022-03-18,97.49,18,3,2022
2022-03-17,97.505,17,3,2022
2022-03-16,97.495,16,3,2022
2022-03-15,97.64,15,3,2022
2022-03-14,97.66,14,3,2022
2022-03-11,97.815,11,3,2022
2022-03-10,97.86,10,3,2022
2022-03-09,97.905,9,3,2022
2022-03-08,97.99,8,3,2022
2022-03-07,98.115,7,3,2022
2022-03-04,98.175,4,3,2022
2022-03-03,98.07,3,3,2022
2022-03-02,98.095,2,3,2022
2022-03-01,98.365,1,3,2022
2022-02-28,98.125,28,2,2022
2022-02-25,97.91,25,2,2022
2022-02-24,97.96,24,2,2022
2022-02-23,97.93,23,2,2022
2022-02-22,97.965,22,2,2022
2022-02-18,98.03,18,2,2022
2022-02-17,98.01,17,2,2022
2022-02-16,97.94,16,2,2022
2022-02-15,97.9,15,2,2022
2022-02-14,97.91,14,2,2022
2022-02-11,97.99,11,2,2022
2022-02-10,97.915,10,2,2022
2022-02-09,98.13,9,2,2022
2022-02-08,98.125,8,2,2022
2022-02-07,98.185,7,2,2022
2022-02-04,98.17,4,2,2022
2022-02-03,98.315,3,2,2022
2022-02-02,98.36,2,2,2022
2022-02-01,98.36,1,2,2022
2022-01-31,98.37,31,1,2022
2022-01-28,98.34,28,1,2022
2022-01-27,98.31,27,1,2022
2022-01-26,98.4,26,1,2022
2022-01-25,98.5,25,1,2022
2022-01-24,98.55,24,1,2022
2022-01-21,98.455,21,1,2022
2022-01-20,98.365,20,1,2022
2022-01-19,98.39,19,1,2022
2022-01-18,98.35,18,1,2022
2022-01-14,98.425,14,1,2022
2022-01-13,98.53,13,1,2022
2022-01-12,98.51,12,1,2022
2022-01-11,98.49,11,1,2022
2022-01-10,98.46,10,1,2022
2022-01-07,98.51,7,1,2022
2022-01-06,98.54,6,1,2022
2022-01-05,98.59,5,1,2022
2022-01-04,98.68,4,1,2022
2022-01-03,98.65,3,1,2022
2021-12-31,98.75,31,12,2021
2021-12-30,98.735,30,12,2021
2021-12-29,98.71,29,12,2021
2021-12-28,98.725,28,12,2021
2021-12-27,98.71,27,12,2021
2021-12-23,98.73,23,12,2021
2021-12-22,98.745,22,12,2021
2021-12-21,98.735,21,12,2021
2021-12-20,98.81,20,12,2021
2021-12-17,98.79,17,12,2021
2021-12-16,98.805,16,12,2021
2021-12-15,98.69,15,12,2021
2021-12-14,98.715,14,12,2021
2021-12-13,98.74,13,12,2021
2021-12-10,98.68,10,12,2021
2021-12-09,98.64,9,12,2021
2021-12-08,98.64,8,12,2021
2021-12-07,98.615,7,12,2021
2021-12-06,98.675,6,12,2021
2021-12-03,98.75,3,12,2021
2021-12-02,98.69,2,12,2021
2021-12-01,98.755,1,12,2021
2021-11-30,98.785,30,11,2021
2021-11-29,98.79,29,11,2021
2021-11-26,98.795,26,11,2021
2021-11-24,98.585,24,11,2021
2021-11-23,98.635,23,11,2021
2021-11-22,98.62,22,11,2021
2021-11-19,98.765,19,11,2021
2021-11-18,98.765,18,11,2021
2021-11-17,98.745,17,11,2021
2021-11-16,98.705,16,11,2021
2021-11-15,98.715,15,11,2021
2021-11-12,98.725,12,11,2021
2021-11-11,98.705,11,11,2021
2021-11-10,98.78,10,11,2021
2021-11-09,98.965,9,11,2021
2021-11-08,98.925,8,11,2021
2021-11-05,99.025,5,11,2021
2021-11-04,98.955,4,11,2021
2021-11-03,98.84,3,11,2021
2021-11-02,98.89,2,11,2021
2021-11-01,98.805,1,11,2021
2021-10-29,98.845,29,10,2021
2021-10-28,98.87,28,10,2021
2021-10-27,98.88,27,10,2021
2021-10-26,98.89,26,10,2021
2021-10-25,98.9,25,10,2021
2021-10-22,98.855,22,10,2021
2021-10-21,98.88,21,10,2021
2021-10-20,98.975,20,10,2021
2021-10-19,98.95,19,10,2021
2021-10-18,98.91,18,10,2021
2021-10-15,98.975,15,10,2021
2021-10-14,99.08,14,10,2021
2021-10-13,99.035,13,10,2021
2021-10-12,99.095,12,10,2021
2021-10-11,99.11,11,10,2021
2021-10-08,99.165,8,10,2021
2021-10-07,99.21,7,10,2021
2021-10-06,99.245,6,10,2021
2021-10-05,99.265,5,10,2021
2021-10-04,99.3,4,10,2021
2021-10-01,99.3,1,10,2021
2021-09-30,99.25,30,9,2021
2021-09-29,99.235,29,9,2021
2021-09-28,99.2,28,9,2021
2021-09-27,99.205,27,9,2021
2021-09-24,99.22,24,9,2021
2021-09-23,99.235,23,9,2021
2021-09-22,99.285,22,9,2021
2021-09-21,99.36,21,9,2021
2021-09-20,99.36,20,9,2021
2021-09-17,99.315,17,9,2021
2021-09-16,99.34,16,9,2021
2021-09-15,99.375,15,9,2021
2021-09-14,99.39,14,9,2021
2021-09-13,99.38,13,9,2021
2021-09-10,99.375,10,9,2021
2021-09-09,99.39,9,9,2021
2021-09-08,99.38,8,9,2021
2021-09-07,99.375,7,9,2021
2021-09-03,99.415,3,9,2021
2021-09-02,99.41,2,9,2021
2021-09-01,99.4,1,9,2021
2021-08-31,99.41,31,8,2021
2021-08-30,99.405,30,8,2021
2021-08-27,99.365,27,8,2021
2021-08-26,99.325,26,8,2021
2021-08-25,99.33,25,8,2021
2021-08-24,99.36,24,8,2021
2021-08-23,99.38,23,8,2021
2021-08-20,99.36,20,8,2021
2021-08-19,99.37,19,8,2021
2021-08-18,99.365,18,8,2021
2021-08-17,99.375,17,8,2021
2021-08-16,99.4,16,8,2021
2021-08-13,99.355,13,8,2021
2021-08-12,99.32,12,8,2021
2021-08-11,99.335,11,8,2021
2021-08-10,99.305,10,8,2021
2021-08-09,99.335,9,8,2021
2021-08-06,99.365,6,8,2021
2021-08-05,99.42,5,8,2021
2021-08-04,99.48,4,8,2021
2021-08-03,99.53,3,8,2021
2021-08-02,99.52,2,8,2021
2021-07-30,99.46,30,7,2021
2021-07-29,99.425,29,7,2021
2021-07-28,99.405,28,7,2021
2021-07-27,99.47,27,7,2021
2021-07-26,99.445,26,7,2021
2021-07-23,99.455,23,7,2021
2021-07-22,99.46,22,7,2021
2021-07-21,99.445,21,7,2021
2021-07-20,99.51,20,7,2021
2021-07-19,99.48,19,7,2021
2021-07-16,99.34,16,7,2021
2021-07-15,99.335,15,7,2021
2021-07-14,99.33,14,7,2021
2021-07-13,99.285,13,7,2021
2021-07-12,99.365,12,7,2021
2021-07-09,99.37,9,7,2021
2021-07-08,99.435,8,7,2021
2021-07-07,99.355,7,7,2021
2021-07-06,99.34,6,7,2021
2021-07-02,99.285,2,7,2021
