sep=,
"Date","Open(Q.SR1M)","High(Q.SR1M)","Low(Q.SR1M)","Last(Q.SR1M)"
"10/10/2019","","","","1.7793"
"11/10/2019","","","","1.7726"
"15/10/2019","","","","1.7711"
"16/10/2019","","","","1.772"
"17/10/2019","","","","1.7467"
"18/10/2019","","","","1.7411"
"21/10/2019","","","","1.7233"
"22/10/2019","","","","1.718"
"23/10/2019","","","","1.7191"
"24/10/2019","","","","1.6985"
"25/10/2019","","","","1.6904"
"28/10/2019","","","","1.6797"
"29/10/2019","","","","1.6668"
"30/10/2019","","","","1.6516"
"31/10/2019","","","","1.6408"
"1/11/2019","","","","1.6249"
"4/11/2019","","","","1.6188"
"5/11/2019","","","","1.617"
"6/11/2019","","","","1.6108"
"7/11/2019","","","","1.6127"
"8/11/2019","","","","1.61"
"12/11/2019","","","","1.6041"
"13/11/2019","","","","1.6172"
"14/11/2019","","","","1.6196"
"15/11/2019","","","","1.6137"
"18/11/2019","","","","1.6052"
"19/11/2019","","","","1.6041"
"20/11/2019","","","","1.6136"
"21/11/2019","","","","1.6198"
"22/11/2019","","","","1.6327"
"25/11/2019","","","","1.6379"
"26/11/2019","","","","1.6342"
"27/11/2019","","","","1.631"
"29/11/2019","","","","1.6344"
"2/12/2019","","","","1.634"
"3/12/2019","","","","1.6286"
"4/12/2019","","","","1.6212"
"5/12/2019","","","","1.6191"
"6/12/2019","","","","1.622"
"9/12/2019","","","","1.6309"
"10/12/2019","","","","1.6273"
"11/12/2019","","","","1.6266"
"12/12/2019","","","","1.6362"
"13/12/2019","","","","1.6282"
"16/12/2019","","","","1.6091"
"17/12/2019","","","","1.6046"
"18/12/2019","","","","1.6048"
"19/12/2019","","","","1.6026"
"20/12/2019","","","","1.5968"
"23/12/2019","","","","1.593"
"24/12/2019","","","","1.5946"
"26/12/2019","","","","1.5963"
"27/12/2019","","","","1.5953"
"30/12/2019","","","","1.5841"
"31/12/2019","","","","1.567"
"2/1/2020","","","","1.5561"
"3/1/2020","","","","1.5556"
"6/1/2020","","","","1.5579"
"7/1/2020","","","","1.5712"
"8/1/2020","","","","1.5742"
"9/1/2020","","","","1.5747"
"10/1/2020","","","","1.5771"
"13/1/2020","","","","1.5774"
"14/1/2020","","","","1.5812"
"15/1/2020","","","","1.5832"
"16/1/2020","","","","1.5819"
"17/1/2020","","","","1.5813"
"21/1/2020","","","","1.5806"
"22/1/2020","","","","1.5804"
"23/1/2020","","","","1.58"
"24/1/2020","","","","1.583"
"27/1/2020","","","","1.5839"
"28/1/2020","","","","1.5817"
"29/1/2020","","","","1.584"
"30/1/2020","","","","1.5849"
"31/1/2020","","","","1.588"
"3/2/2020","","","","1.5877"
"4/2/2020","","","","1.5862"
"5/2/2020","","","","1.589"
"6/2/2020","","","","1.5911"
"7/2/2020","","","","1.5908"
"10/2/2020","","","","1.5905"
"11/2/2020","","","","1.5844"
"12/2/2020","","","","1.5851"
"13/2/2020","","","","1.584"
"14/2/2020","","","","1.5853"
"18/2/2020","","","","1.5827"
"19/2/2020","","","","1.5785"
"20/2/2020","","","","1.5829"
"21/2/2020","","","","1.5857"
"24/2/2020","","","","1.5802"
"25/2/2020","","","","1.5675"
"26/2/2020","","","","1.5606"
"27/2/2020","","","","1.5486"
"28/2/2020","","","","1.5113"
"2/3/2020","","","","1.4079"
"3/3/2020","","","","1.238"
"4/3/2020","","","","0.9853"
"5/3/2020","","","","0.9223"
"6/3/2020","","","","0.8296"
"9/3/2020","","","","0.6734"
"10/3/2020","","","","0.4725"
"11/3/2020","","","","0.5686"
"12/3/2020","","","","0.44"
"13/3/2020","","","","0.2706"
"16/3/2020","","","","0.2165"
"17/3/2020","","","","0.1655"
"18/3/2020","","","","0.1583"
"19/3/2020","","","","0.1409"
"20/3/2020","","","","0.118"
"23/3/2020","","","","0.0881"
"24/3/2020","","","","0.063"
"25/3/2020","","","","0.0505"
"26/3/2020","","","","0.0554"
"27/3/2020","","","","0.0547"
"30/3/2020","","","","0.0478"
"31/3/2020","","","","0.0517"
"1/4/2020","","","","0.0452"
"2/4/2020","","","","0.0489"
"3/4/2020","","","","0.0493"
"6/4/2020","","","","0.0408"
"7/4/2020","","","","0.0504"
"8/4/2020","","","","0.0558"
"9/4/2020","","","","0.0583"
"13/4/2020","","","","0.0565"
"14/4/2020","","","","0.064"
"15/4/2020","","","","0.0728"
"16/4/2020","","","","0.0662"
"17/4/2020","","","","0.0663"
"20/4/2020","","","","0.0581"
"21/4/2020","","","","0.0495"
"22/4/2020","","","","0.0429"
"23/4/2020","","","","0.0444"
"24/4/2020","","","","0.0504"
"27/4/2020","","","","0.0524"
"28/4/2020","","","","0.0458"
"29/4/2020","","","","0.043"
"1/5/2020","","","","0.0306"
"4/5/2020","","","","0.0393"
"5/5/2020","","","","0.0306"
"6/5/2020","","","","0.0465"
"7/5/2020","","","","0.0548"
"8/5/2020","","","","0.0653"
"11/5/2020","","","","0.0668"
"12/5/2020","","","","0.069"
"13/5/2020","","","","0.07"
"14/5/2020","","","","0.0635"
"15/5/2020","","","","0.0577"
"18/5/2020","","","","0.0553"
"19/5/2020","","","","0.0593"
"20/5/2020","","","","0.0584"
"21/5/2020","","","","0.0566"
"22/5/2020","","","","0.0531"
"26/5/2020","","","","0.0531"
"27/5/2020","","","","0.06"
"28/5/2020","","","","0.0662"
"29/5/2020","","","","0.0714"
"1/6/2020","","","","0.069"
"2/6/2020","","","","0.0703"
"3/6/2020","","","","0.0703"
"4/6/2020","","","","0.0755"
"5/6/2020","","","","0.0778"
"8/6/2020","","","","0.0759"
"9/6/2020","","","","0.08"
"10/6/2020","","","","0.0837"
"11/6/2020","","","","0.0798"
"12/6/2020","","","","0.0782"
"15/6/2020","","","","0.0985"
"16/6/2020","","","","0.101"
"17/6/2020","","","","0.0849"
"18/6/2020","","","","0.0957"
"19/6/2020","","","","0.085"
"22/6/2020","","","","0.0844"
"23/6/2020","","","","0.0843"
"24/6/2020","","","","0.0796"
"25/6/2020","","","","0.0756"
"26/6/2020","","","","0.0745"
"29/6/2020","","","","0.0748"
"30/6/2020","","","","0.0709"
"1/7/2020","","","","0.0693"
"2/7/2020","","","","0.0737"
"6/7/2020","","","","0.0846"
"7/7/2020","","","","0.0889"
"8/7/2020","","","","0.0916"
"9/7/2020","","","","0.086"
"10/7/2020","","","","0.087"
"13/7/2020","","","","0.0914"
"14/7/2020","","","","0.0919"
"15/7/2020","","","","0.0931"
"16/7/2020","","","","0.0938"
"17/7/2020","","","","0.0867"
"20/7/2020","","","","0.0885"
"21/7/2020","","","","0.0897"
"22/7/2020","","","","0.0949"
"23/7/2020","","","","0.0943"
"24/7/2020","","","","0.0894"
"27/7/2020","","","","0.089"
"28/7/2020","","","","0.09"
"29/7/2020","","","","0.0894"
"30/7/2020","","","","0.0853"
"31/7/2020","","","","0.081"
"3/8/2020","","","","0.0816"
"4/8/2020","","","","0.0817"
"5/8/2020","","","","0.0831"
"6/8/2020","","","","0.0807"
"7/8/2020","","","","0.0822"
"10/8/2020","","","","0.0804"
"11/8/2020","","","","0.0823"
"12/8/2020","","","","0.0824"
"13/8/2020","","","","0.084"
"14/8/2020","","","","0.0854"
"17/8/2020","","","","0.086"
"18/8/2020","","","","0.088"
"19/8/2020","","","","0.0855"
"20/8/2020","","","","0.0772"
"21/8/2020","","","","0.0734"
"24/8/2020","","","","0.07"
"25/8/2020","","","","0.0713"
"26/8/2020","","","","0.077"
"27/8/2020","","","","0.0773"
"28/8/2020","","","","0.0729"
"31/8/2020","","","","0.0701"
"1/9/2020","","","","0.0735"
"2/9/2020","","","","0.075"
"3/9/2020","","","","0.0744"
"4/9/2020","","","","0.0771"
"8/9/2020","","","","0.0815"
"9/9/2020","","","","0.0842"
"10/9/2020","","","","0.0832"
"11/9/2020","","","","0.0825"
"14/9/2020","","","","0.0804"
"15/9/2020","","","","0.0755"
"16/9/2020","","","","0.0791"
"17/9/2020","","","","0.0762"
"18/9/2020","","","","0.0779"
"21/9/2020","","","","0.0789"
"22/9/2020","","","","0.0755"
"23/9/2020","","","","0.0744"
"24/9/2020","","","","0.0749"
"25/9/2020","","","","0.0737"
"28/9/2020","","","","0.0744"
"29/9/2020","","","","0.0764"
"30/9/2020","","","","0.0736"
"1/10/2020","","","","0.0729"
"2/10/2020","","","","0.0711"
"5/10/2020","","","","0.0727"
"6/10/2020","","","","0.0755"
"7/10/2020","","","","0.0762"
"8/10/2020","","","","0.0751"
"9/10/2020","","","","0.074"
"13/10/2020","","","","0.0738"
"14/10/2020","","","","0.0753"
"15/10/2020","","","","0.0787"
"16/10/2020","","","","0.0808"
"19/10/2020","","","","0.0822"
"20/10/2020","","","","0.0818"
"21/10/2020","","","","0.0826"
"22/10/2020","","","","0.0802"
"23/10/2020","","","","0.0799"
"26/10/2020","","","","0.0808"
"27/10/2020","","","","0.0799"
"28/10/2020","","","","0.0821"
"29/10/2020","","","","0.0819"
"30/10/2020","","","","0.084"
"2/11/2020","","","","0.0805"
"3/11/2020","","","","0.083"
"4/11/2020","","","","0.0847"
"5/11/2020","","","","0.0873"
"6/11/2020","","","","0.0914"
"9/11/2020","","","","0.0944"
"10/11/2020","","","","0.0921"
"12/11/2020","","","","0.0928"
"13/11/2020","","","","0.0901"
"16/11/2020","","","","0.0855"
"17/11/2020","","","","0.0866"
"18/11/2020","","","","0.0844"
"19/11/2020","","","","0.0815"
"20/11/2020","","","","0.0767"
"23/11/2020","","","","0.0715"
"24/11/2020","","","","0.0715"
"25/11/2020","","","","0.0745"
"27/11/2020","","","","0.074"
"30/11/2020","","","","0.0772"
"1/12/2020","","","","0.0738"
"2/12/2020","","","","0.0715"
"3/12/2020","","","","0.0725"
"4/12/2020","","","","0.0735"
"7/12/2020","","","","0.0734"
"8/12/2020","","","","0.068"
"9/12/2020","","","","0.0671"
"10/12/2020","","","","0.0645"
"11/12/2020","","","","0.0675"
"14/12/2020","","","","0.0638"
"15/12/2020","","","","0.0656"
"16/12/2020","","","","0.0656"
"17/12/2020","","","","0.0694"
"18/12/2020","","","","0.0752"
"21/12/2020","","","","0.0721"
"22/12/2020","","","","0.0754"
"23/12/2020","","","","0.0773"
"24/12/2020","","","","0.0764"
"28/12/2020","","","","0.078"
"29/12/2020","","","","0.0786"
"30/12/2020","","","","0.0774"
"31/12/2020","","","","0.0732"
