"Date","Open(QUSD3MFSR=X)","High(QUSD3MFSR=X)","Low(QUSD3MFSR=X)","Last(QUSD3MFSR=X)"
"30/5/2023","","","","5.496"
"26/5/2023","","","","5.47571"
"25/5/2023","","","","5.46314"
"24/5/2023","","","","5.42443"
"23/5/2023","","","","5.39586"
"22/5/2023","","","","5.37471"
"19/5/2023","","","","5.39271"
"18/5/2023","","","","5.37914"
"17/5/2023","","","","5.369"
"16/5/2023","","","","5.34514"
"15/5/2023","","","","5.33043"
"12/5/2023","","","","5.31829"
"11/5/2023","","","","5.32071"
"10/5/2023","","","","5.34243"
"9/5/2023","","","","5.33914"
"5/5/2023","","","","5.33686"
"4/5/2023","","","","5.32371"
"3/5/2023","","","","5.32629"
"2/5/2023","","","","5.33629"
"28/4/2023","","","","5.30243"
"27/4/2023","","","","5.29914"
"26/4/2023","","","","5.27271"
"25/4/2023","","","","5.29157"
"24/4/2023","","","","5.26814"
"21/4/2023","","","","5.25514"
"20/4/2023","","","","5.27271"
"19/4/2023","","","","5.26143"
"18/4/2023","","","","5.25043"
"17/4/2023","","","","5.265"
"14/4/2023","","","","5.26171"
"13/4/2023","","","","5.26029"
"12/4/2023","","","","5.25129"
"11/4/2023","","","","5.24157"
"6/4/2023","","","","5.19786"
"5/4/2023","","","","5.211"
"4/4/2023","","","","5.21886"
"3/4/2023","","","","5.22257"
"31/3/2023","","","","5.19271"
"30/3/2023","","","","5.17657"
"29/3/2023","","","","5.15914"
"28/3/2023","","","","5.16286"
"27/3/2023","","","","5.14314"
"24/3/2023","","","","5.10143"
"23/3/2023","","","","5.13371"
"22/3/2023","","","","5.08"
"21/3/2023","","","","5.01771"
"20/3/2023","","","","4.94714"
"17/3/2023","","","","4.99843"
"16/3/2023","","","","4.96257"
"15/3/2023","","","","4.90714"
"14/3/2023","","","","4.941"
"13/3/2023","","","","4.86629"
"10/3/2023","","","","5.13814"
"9/3/2023","","","","5.15371"
"8/3/2023","","","","5.12471"
"7/3/2023","","","","5.02571"
"6/3/2023","","","","5.008"
"3/3/2023","","","","4.984"
"2/3/2023","","","","4.98571"
"1/3/2023","","","","4.98114"
"28/2/2023","","","","4.971"
"27/2/2023","","","","4.96243"
"24/2/2023","","","","4.95343"
"23/2/2023","","","","4.95786"
"22/2/2023","","","","4.92814"
"21/2/2023","","","","4.92214"
"20/2/2023","","","","4.90943"
"17/2/2023","","","","4.91529"
"16/2/2023","","","","4.90086"
"15/2/2023","","","","4.87657"
"14/2/2023","","","","4.87157"
"13/2/2023","","","","4.86357"
"10/2/2023","","","","4.86943"
"9/2/2023","","","","4.87257"
"8/2/2023","","","","4.85929"
"7/2/2023","","","","4.845"
"6/2/2023","","","","4.84314"
"3/2/2023","","","","4.83414"
"2/2/2023","","","","4.80614"
"1/2/2023","","","","4.79629"
"31/1/2023","","","","4.81357"
"30/1/2023","","","","4.81357"
"27/1/2023","","","","4.82529"
"26/1/2023","","","","4.80243"
"25/1/2023","","","","4.81457"
"24/1/2023","","","","4.82186"
"23/1/2023","","","","4.81771"
"20/1/2023","","","","4.81557"
"19/1/2023","","","","4.81529"
"18/1/2023","","","","4.80771"
"17/1/2023","","","","4.79757"
"16/1/2023","","","","4.79471"
"13/1/2023","","","","4.79243"
"12/1/2023","","","","4.82971"
"11/1/2023","","","","4.815"
"10/1/2023","","","","4.80586"
"9/1/2023","","","","4.78257"
"6/1/2023","","","","4.80986"
"5/1/2023","","","","4.81171"
"4/1/2023","","","","4.78843"
"3/1/2023","","","","4.78186"
"30/12/2022","","","","4.76729"
"29/12/2022","","","","4.75386"
"28/12/2022","","","","4.72986"
"23/12/2022","","","","4.72643"
"22/12/2022","","","","4.72386"
"21/12/2022","","","","4.729"
"20/12/2022","","","","4.75257"
"19/12/2022","","","","4.73829"
"16/12/2022","","","","4.74586"
"15/12/2022","","","","4.73771"
"14/12/2022","","","","4.73629"
"13/12/2022","","","","4.769"
"12/12/2022","","","","4.75271"
"9/12/2022","","","","4.73314"
"8/12/2022","","","","4.73514"
"7/12/2022","","","","4.72343"
"6/12/2022","","","","4.73457"
"5/12/2022","","","","4.72343"
"2/12/2022","","","","4.73257"
"1/12/2022","","","","4.765"
"30/11/2022","","","","4.77857"
"29/11/2022","","","","4.76057"
"28/11/2022","","","","4.73486"
"25/11/2022","","","","4.73386"
"24/11/2022","","","","4.73629"
"23/11/2022","","","","4.75729"
"22/11/2022","","","","4.69871"
"21/11/2022","","","","4.69186"
"18/11/2022","","","","4.66486"
"17/11/2022","","","","4.67543"
"16/11/2022","","","","4.67429"
"15/11/2022","","","","4.64971"
"14/11/2022","","","","4.64386"
"11/11/2022","","","","4.60614"
"10/11/2022","","","","4.64971"
"9/11/2022","","","","4.63"
"8/11/2022","","","","4.592"
"7/11/2022","","","","4.55729"
"4/11/2022","","","","4.55029"
"3/11/2022","","","","4.53157"
"2/11/2022","","","","4.50843"
"1/11/2022","","","","4.45971"
"31/10/2022","","","","4.46029"
"28/10/2022","","","","4.43957"
"27/10/2022","","","","4.41471"
"26/10/2022","","","","4.37386"
"25/10/2022","","","","4.358"
"24/10/2022","","","","4.32686"
"21/10/2022","","","","4.35843"
"20/10/2022","","","","4.32457"
"19/10/2022","","","","4.27757"
"18/10/2022","","","","4.24257"
"17/10/2022","","","","4.22657"
"14/10/2022","","","","4.19371"
"13/10/2022","","","","4.07914"
"12/10/2022","","","","4.01086"
"11/10/2022","","","","3.94071"
"10/10/2022","","","","3.91914"
"7/10/2022","","","","3.90871"
"6/10/2022","","","","3.82571"
"5/10/2022","","","","3.784"
"4/10/2022","","","","3.74071"
"3/10/2022","","","","3.74829"
"30/9/2022","","","","3.75471"
"29/9/2022","","","","3.74286"
"28/9/2022","","","","3.67414"
"27/9/2022","","","","3.64186"
"26/9/2022","","","","3.64086"
"23/9/2022","","","","3.62843"
"22/9/2022","","","","3.64143"
"21/9/2022","","","","3.60386"
"20/9/2022","","","","3.60171"
"16/9/2022","","","","3.56529"
"15/9/2022","","","","3.52714"
"14/9/2022","","","","3.48343"
"13/9/2022","","","","3.29257"
"12/9/2022","","","","3.27014"
"9/9/2022","","","","3.24543"
"8/9/2022","","","","3.23571"
"7/9/2022","","","","3.194"
"6/9/2022","","","","3.16786"
"5/9/2022","","","","3.14486"
"2/9/2022","","","","3.15814"
"1/9/2022","","","","3.14414"
"31/8/2022","","","","3.09971"
"30/8/2022","","","","3.08214"
"26/8/2022","","","","3.06957"
"25/8/2022","","","","3.04314"
"24/8/2022","","","","3.01"
"23/8/2022","","","","2.99686"
"22/8/2022","","","","2.97971"
"19/8/2022","","","","2.95771"
"18/8/2022","","","","2.984"
"17/8/2022","","","","2.97657"
"16/8/2022","","","","2.96057"
"15/8/2022","","","","2.94186"
"12/8/2022","","","","2.92157"
"11/8/2022","","","","2.90514"
"10/8/2022","","","","2.92271"
"9/8/2022","","","","2.921"
"8/8/2022","","","","2.91157"
"5/8/2022","","","","2.86671"
"4/8/2022","","","","2.86329"
"3/8/2022","","","","2.83229"
"2/8/2022","","","","2.807"
"1/8/2022","","","","2.80214"
"29/7/2022","","","","2.78829"
"28/7/2022","","","","2.78229"
"27/7/2022","","","","2.80586"
"26/7/2022","","","","2.79286"
"25/7/2022","","","","2.76929"
"22/7/2022","","","","2.76629"
"21/7/2022","","","","2.783"
"20/7/2022","","","","2.759"
"19/7/2022","","","","2.73171"
"18/7/2022","","","","2.70986"
"15/7/2022","","","","2.73757"
"14/7/2022","","","","2.74029"
"13/7/2022","","","","2.512"
"12/7/2022","","","","2.483"
"11/7/2022","","","","2.45514"
"8/7/2022","","","","2.423"
"7/7/2022","","","","2.42757"
"6/7/2022","","","","2.39057"
"5/7/2022","","","","2.34829"
"4/7/2022","","","","2.32171"
"1/7/2022","","","","2.29286"
"30/6/2022","","","","2.28514"
"29/6/2022","","","","2.27714"
"28/6/2022","","","","2.25043"
"27/6/2022","","","","2.23157"
"24/6/2022","","","","2.23443"
"23/6/2022","","","","2.19729"
"22/6/2022","","","","2.18457"
"21/6/2022","","","","2.15443"
"20/6/2022","","","","2.12343"
"17/6/2022","","","","2.09586"
"16/6/2022","","","","2.06343"
"15/6/2022","","","","2.02957"
"14/6/2022","","","","2.00329"
"13/6/2022","","","","1.82886"
"10/6/2022","","","","1.74471"
"9/6/2022","","","","1.72129"
"8/6/2022","","","","1.68771"
"7/6/2022","","","","1.69043"
"6/6/2022","","","","1.665"
"1/6/2022","","","","1.626"
"31/5/2022","","","","1.61071"
"30/5/2022","","","","1.58043"
"27/5/2022","","","","1.59786"
"26/5/2022","","","","1.57486"
"25/5/2022","","","","1.55286"
"24/5/2022","","","","1.531"
"23/5/2022","","","","1.52386"
"20/5/2022","","","","1.50643"
"19/5/2022","","","","1.50486"
"18/5/2022","","","","1.478"
"17/5/2022","","","","1.44757"
"16/5/2022","","","","1.455"
"13/5/2022","","","","1.44371"
"12/5/2022","","","","1.41129"
"11/5/2022","","","","1.42186"
"10/5/2022","","","","1.39986"
"9/5/2022","","","","1.39857"
"6/5/2022","","","","1.40186"
"5/5/2022","","","","1.37071"
"4/5/2022","","","","1.40614"
"3/5/2022","","","","1.36329"
"29/4/2022","","","","1.33486"
"28/4/2022","","","","1.286"
"27/4/2022","","","","1.23886"
"26/4/2022","","","","1.23814"
"25/4/2022","","","","1.22486"
"22/4/2022","","","","1.21371"
"21/4/2022","","","","1.184"
"20/4/2022","","","","1.13629"
"19/4/2022","","","","1.09829"
"14/4/2022","","","","1.06271"
"13/4/2022","","","","1.04429"
"12/4/2022","","","","1.03843"
"11/4/2022","","","","1.02143"
"8/4/2022","","","","1.01071"
"7/4/2022","","","","0.98886"
"6/4/2022","","","","0.98643"
"5/4/2022","","","","0.96657"
"4/4/2022","","","","0.969"
"1/4/2022","","","","0.962"
"31/3/2022","","","","0.96157"
"30/3/2022","","","","0.96686"
"29/3/2022","","","","1.006"
"28/3/2022","","","","0.99629"
"25/3/2022","","","","0.98286"
"24/3/2022","","","","0.96557"
"23/3/2022","","","","0.96571"
"22/3/2022","","","","0.95371"
"21/3/2022","","","","0.95757"
"18/3/2022","","","","0.934"
"17/3/2022","","","","0.92786"
"16/3/2022","","","","0.94814"
"15/3/2022","","","","0.91643"
"14/3/2022","","","","0.88471"
"11/3/2022","","","","0.826"
"10/3/2022","","","","0.80286"
"9/3/2022","","","","0.745"
"8/3/2022","","","","0.703"
"7/3/2022","","","","0.64286"
"4/3/2022","","","","0.61014"
"3/3/2022","","","","0.58314"
"2/3/2022","","","","0.52214"
"1/3/2022","","","","0.51086"
"28/2/2022","","","","0.50429"
"25/2/2022","","","","0.523"
"24/2/2022","","","","0.50786"
"23/2/2022","","","","0.49757"
"22/2/2022","","","","0.48786"
"21/2/2022","","","","0.46386"
"18/2/2022","","","","0.47957"
"17/2/2022","","","","0.481"
"16/2/2022","","","","0.48814"
"15/2/2022","","","","0.46871"
"14/2/2022","","","","0.45857"
"11/2/2022","","","","0.50643"
"10/2/2022","","","","0.39486"
"9/2/2022","","","","0.37743"
"8/2/2022","","","","0.36629"
"7/2/2022","","","","0.36243"
"4/2/2022","","","","0.339"
"3/2/2022","","","","0.315"
"2/2/2022","","","","0.31057"
"1/2/2022","","","","0.30271"
"31/1/2022","","","","0.30886"
"28/1/2022","","","","0.31657"
"27/1/2022","","","","0.299"
"26/1/2022","","","","0.27757"
"25/1/2022","","","","0.26757"
"24/1/2022","","","","0.26714"
"21/1/2022","","","","0.25771"
"20/1/2022","","","","0.25886"
"19/1/2022","","","","0.25514"
"18/1/2022","","","","0.254"
"17/1/2022","","","","0.248"
"14/1/2022","","","","0.24129"
"13/1/2022","","","","0.23914"
"12/1/2022","","","","0.23843"
"11/1/2022","","","","0.24443"
"10/1/2022","","","","0.23829"
"7/1/2022","","","","0.23614"
"6/1/2022","","","","0.23129"
"5/1/2022","","","","0.22557"
"4/1/2022","","","","0.216"
"31/12/2021","","","","0.20913"
"30/12/2021","","","","0.21438"
"29/12/2021","","","","0.22375"
"24/12/2021","","","","0.21788"
"23/12/2021","","","","0.21975"
"22/12/2021","","","","0.21138"
"21/12/2021","","","","0.216"
"20/12/2021","","","","0.21425"
"17/12/2021","","","","0.21263"
"16/12/2021","","","","0.21363"
"15/12/2021","","","","0.21563"
"14/12/2021","","","","0.21088"
"13/12/2021","","","","0.20275"
"10/12/2021","","","","0.19825"
"9/12/2021","","","","0.20088"
"8/12/2021","","","","0.2005"
"7/12/2021","","","","0.19825"
"6/12/2021","","","","0.19"
"3/12/2021","","","","0.18763"
"2/12/2021","","","","0.18013"
"1/12/2021","","","","0.17463"
"30/11/2021","","","","0.17325"
"29/11/2021","","","","0.17088"
"26/11/2021","","","","0.17538"
"25/11/2021","","","","0.17563"
"24/11/2021","","","","0.18025"
"23/11/2021","","","","0.178"
"22/11/2021","","","","0.16963"
"19/11/2021","","","","0.164"
"18/11/2021","","","","0.15963"
"17/11/2021","","","","0.1575"
"16/11/2021","","","","0.16"
"15/11/2021","","","","0.15788"
"12/11/2021","","","","0.155"
"11/11/2021","","","","0.156"
"10/11/2021","","","","0.15438"
"9/11/2021","","","","0.1495"
"8/11/2021","","","","0.14563"
"5/11/2021","","","","0.14275"
"4/11/2021","","","","0.14438"
"3/11/2021","","","","0.13975"
"2/11/2021","","","","0.145"
"1/11/2021","","","","0.14088"
"29/10/2021","","","","0.13225"
"28/10/2021","","","","0.13163"
"27/10/2021","","","","0.12863"
"26/10/2021","","","","0.13588"
"25/10/2021","","","","0.1345"
"22/10/2021","","","","0.12488"
"21/10/2021","","","","0.12388"
"20/10/2021","","","","0.12825"
"19/10/2021","","","","0.1295"
"18/10/2021","","","","0.1315"
"15/10/2021","","","","0.12363"
"14/10/2021","","","","0.12225"
"13/10/2021","","","","0.12375"
"12/10/2021","","","","0.12675"
"11/10/2021","","","","0.12175"
"8/10/2021","","","","0.12113"
"7/10/2021","","","","0.12363"
"6/10/2021","","","","0.124"
"5/10/2021","","","","0.124"
"4/10/2021","","","","0.12663"
"1/10/2021","","","","0.13313"
"30/9/2021","","","","0.13013"
"29/9/2021","","","","0.13088"
"28/9/2021","","","","0.1315"
"27/9/2021","","","","0.13175"
"24/9/2021","","","","0.13225"
"23/9/2021","","","","0.13225"
"22/9/2021","","","","0.12925"
"21/9/2021","","","","0.12838"
"20/9/2021","","","","0.12538"
"17/9/2021","","","","0.12388"
"16/9/2021","","","","0.122"
"15/9/2021","","","","0.12"
"14/9/2021","","","","0.118"
"13/9/2021","","","","0.116"
"10/9/2021","","","","0.11575"
"9/9/2021","","","","0.11413"
"8/9/2021","","","","0.11575"
"7/9/2021","","","","0.116"
"6/9/2021","","","","0.11463"
"3/9/2021","","","","0.1155"
"2/9/2021","","","","0.11763"
"1/9/2021","","","","0.11888"
"31/8/2021","","","","0.11963"
"27/8/2021","","","","0.11988"
"26/8/2021","","","","0.12075"
"25/8/2021","","","","0.12375"
"24/8/2021","","","","0.12175"
"23/8/2021","","","","0.12925"
"20/8/2021","","","","0.12838"
"19/8/2021","","","","0.13075"
"18/8/2021","","","","0.13088"
"17/8/2021","","","","0.12725"
"16/8/2021","","","","0.1245"
"13/8/2021","","","","0.12425"
"12/8/2021","","","","0.12475"
"11/8/2021","","","","0.12125"
"10/8/2021","","","","0.12275"
"9/8/2021","","","","0.12725"
"6/8/2021","","","","0.12838"
"5/8/2021","","","","0.12538"
"4/8/2021","","","","0.12175"
"3/8/2021","","","","0.12138"
"2/8/2021","","","","0.12375"
"30/7/2021","","","","0.11775"
"29/7/2021","","","","0.12575"
"28/7/2021","","","","0.1285"
"27/7/2021","","","","0.12963"
"26/7/2021","","","","0.13163"
"23/7/2021","","","","0.12888"
"22/7/2021","","","","0.12525"
"21/7/2021","","","","0.13788"
"20/7/2021","","","","0.13825"
"19/7/2021","","","","0.13425"
"16/7/2021","","","","0.13425"
"15/7/2021","","","","0.13388"
"14/7/2021","","","","0.12638"
"13/7/2021","","","","0.12613"
"12/7/2021","","","","0.13288"
"9/7/2021","","","","0.12863"
"8/7/2021","","","","0.119"
"7/7/2021","","","","0.12388"
"6/7/2021","","","","0.13488"
"5/7/2021","","","","0.138"
"2/7/2021","","","","0.13788"
"1/7/2021","","","","0.14475"
"30/6/2021","","","","0.14575"
"29/6/2021","","","","0.14488"
"28/6/2021","","","","0.14725"
"25/6/2021","","","","0.146"
"24/6/2021","","","","0.146"
"23/6/2021","","","","0.14725"
"22/6/2021","","","","0.13375"
"21/6/2021","","","","0.13788"
"18/6/2021","","","","0.13488"
"17/6/2021","","","","0.1345"
"16/6/2021","","","","0.1245"
"15/6/2021","","","","0.12475"
"14/6/2021","","","","0.118"
"11/6/2021","","","","0.11888"
"10/6/2021","","","","0.119"
"9/6/2021","","","","0.12475"
"8/6/2021","","","","0.128"
"7/6/2021","","","","0.12313"
"4/6/2021","","","","0.12825"
"3/6/2021","","","","0.13075"
"2/6/2021","","","","0.134"
"1/6/2021","","","","0.1285"
"28/5/2021","","","","0.13138"
"27/5/2021","","","","0.13463"
"26/5/2021","","","","0.135"
"25/5/2021","","","","0.1385"
"24/5/2021","","","","0.14088"
"21/5/2021","","","","0.147"
"20/5/2021","","","","0.15013"
"19/5/2021","","","","0.14925"
"18/5/2021","","","","0.15525"
"17/5/2021","","","","0.14963"
"14/5/2021","","","","0.15513"
"13/5/2021","","","","0.15588"
"12/5/2021","","","","0.15413"
"11/5/2021","","","","0.16025"
"10/5/2021","","","","0.1675"
"7/5/2021","","","","0.15988"
"6/5/2021","","","","0.162"
"5/5/2021","","","","0.16988"
"4/5/2021","","","","0.17538"
"30/4/2021","","","","0.17638"
"29/4/2021","","","","0.17563"
"28/4/2021","","","","0.1855"
"27/4/2021","","","","0.17713"
"26/4/2021","","","","0.184"
"23/4/2021","","","","0.18138"
"22/4/2021","","","","0.17575"
"21/4/2021","","","","0.17288"
"20/4/2021","","","","0.18375"
"19/4/2021","","","","0.186"
"16/4/2021","","","","0.18825"
"15/4/2021","","","","0.18975"
"14/4/2021","","","","0.18363"
"13/4/2021","","","","0.18375"
"12/4/2021","","","","0.18575"
"9/4/2021","","","","0.1875"
"8/4/2021","","","","0.18775"
"7/4/2021","","","","0.19363"
"6/4/2021","","","","0.19738"
"1/4/2021","","","","0.19975"
"31/3/2021","","","","0.19425"
"30/3/2021","","","","0.20163"
"29/3/2021","","","","0.2025"
"26/3/2021","","","","0.199"
"25/3/2021","","","","0.193"
"24/3/2021","","","","0.19513"
"23/3/2021","","","","0.20063"
"22/3/2021","","","","0.1905"
"19/3/2021","","","","0.19688"
"18/3/2021","","","","0.18663"
"17/3/2021","","","","0.18963"
"16/3/2021","","","","0.19"
"15/3/2021","","","","0.182"
"12/3/2021","","","","0.1895"
"11/3/2021","","","","0.18388"
"10/3/2021","","","","0.18413"
"9/3/2021","","","","0.17725"
"8/3/2021","","","","0.1825"
"5/3/2021","","","","0.18538"
"4/3/2021","","","","0.1755"
"3/3/2021","","","","0.19375"
"2/3/2021","","","","0.18338"
"1/3/2021","","","","0.18425"
"26/2/2021","","","","0.18838"
"25/2/2021","","","","0.1905"
"24/2/2021","","","","0.18975"
"23/2/2021","","","","0.1875"
"22/2/2021","","","","0.1755"
"19/2/2021","","","","0.17525"
"18/2/2021","","","","0.18238"
"17/2/2021","","","","0.18138"
"16/2/2021","","","","0.18863"
"15/2/2021","","","","0.1915"
"12/2/2021","","","","0.19375"
"11/2/2021","","","","0.19763"
"10/2/2021","","","","0.20088"
"9/2/2021","","","","0.2025"
"8/2/2021","","","","0.19538"
"5/2/2021","","","","0.19088"
"4/2/2021","","","","0.19263"
"3/2/2021","","","","0.19513"
"2/2/2021","","","","0.19225"
"1/2/2021","","","","0.1955"
"29/1/2021","","","","0.20188"
"28/1/2021","","","","0.205"
"27/1/2021","","","","0.2115"
"26/1/2021","","","","0.2185"
"25/1/2021","","","","0.21288"
"22/1/2021","","","","0.21525"
"21/1/2021","","","","0.21775"
"20/1/2021","","","","0.22238"
"19/1/2021","","","","0.22363"
"18/1/2021","","","","0.224"
"15/1/2021","","","","0.22338"
"14/1/2021","","","","0.22563"
"13/1/2021","","","","0.24125"
"12/1/2021","","","","0.23375"
"11/1/2021","","","","0.2245"
"8/1/2021","","","","0.22438"
"7/1/2021","","","","0.22475"
"6/1/2021","","","","0.234"
"5/1/2021","","","","0.23688"
"4/1/2021","","","","0.23725"
"31/12/2020","","","","0.23838"
"30/12/2020","","","","0.2375"
"29/12/2020","","","","0.25388"
"24/12/2020","","","","0.24013"
"23/12/2020","","","","0.251"
"22/12/2020","","","","0.23813"
"21/12/2020","","","","0.24488"
"18/12/2020","","","","0.23575"
"17/12/2020","","","","0.23863"
"16/12/2020","","","","0.23638"
"15/12/2020","","","","0.22875"
"14/12/2020","","","","0.21925"
"11/12/2020","","","","0.2165"
"10/12/2020","","","","0.2195"
"9/12/2020","","","","0.22063"
"8/12/2020","","","","0.23"
"7/12/2020","","","","0.23038"
"4/12/2020","","","","0.22588"
"3/12/2020","","","","0.22538"
"2/12/2020","","","","0.2305"
"1/12/2020","","","","0.232"
"30/11/2020","","","","0.22763"
"27/11/2020","","","","0.22538"
"26/11/2020","","","","0.22438"
"25/11/2020","","","","0.233"
"24/11/2020","","","","0.23225"
"23/11/2020","","","","0.2065"
"20/11/2020","","","","0.20488"
"19/11/2020","","","","0.21263"
"18/11/2020","","","","0.22375"
"17/11/2020","","","","0.231"
"16/11/2020","","","","0.22038"
"13/11/2020","","","","0.222"
"12/11/2020","","","","0.221"
"11/11/2020","","","","0.22063"
"10/11/2020","","","","0.21363"
"9/11/2020","","","","0.205"
"6/11/2020","","","","0.20588"
"5/11/2020","","","","0.213"
"4/11/2020","","","","0.23225"
"3/11/2020","","","","0.22475"
"2/11/2020","","","","0.22013"
"30/10/2020","","","","0.21575"
"29/10/2020","","","","0.21438"
"28/10/2020","","","","0.21438"
"27/10/2020","","","","0.21325"
"26/10/2020","","","","0.22225"
"23/10/2020","","","","0.2165"
"22/10/2020","","","","0.21475"
"21/10/2020","","","","0.20913"
"20/10/2020","","","","0.21575"
"19/10/2020","","","","0.20863"
"16/10/2020","","","","0.21838"
